Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
"Nat Habit Cold Pressed Jamaican Black Castor Oil for Hair & Eye Lashes Growth, 100% Pure Castor (Arandi) Oil for Women & Men, Skin & Hair With Vitamin E, Omega-6 & 9, Mineral Free - (200 ml)",263,4.3 out of 5 stars,"2,008",N/A,https://m.media-amazon.com/images/I/51FVgHw3q-L._AC_UL320_.jpg,N/A
"Parachute Advansed Gold Coconut Hair Oil, 500 ml",176,4.4 out of 5 stars,155,N/A,https://m.media-amazon.com/images/I/51yT6nK22SL._AC_UL320_.jpg,N/A
"Soulflower Rosemary Essential Oil for Hair Growth, Hair Fall Control and Nourishment, Skin Care | Clinically Tested & Ecocert Certified Organic 100% Pure, Natural, Undiluted | 15ml",395,4.2 out of 5 stars,"20,597",N/A,https://m.media-amazon.com/images/I/711LPMkWoyL._AC_UL320_.jpg,N/A
"Nat Habit Tri-Leaf Hair Oil For Men & Women Hairfall Reduction, Suitable For All Hair Types, No Paraffin, Mineral Oil, Preservatives & Chemicals, 100ml",296,4.2 out of 5 stars,880,N/A,https://m.media-amazon.com/images/I/71Y31JhHrzL._AC_UL320_.jpg,N/A
"Man Matters Hair Oil With Rosemary, Onion, Bhringraj, Shikkai, Brahmi & Amla Oils | Reduces Hair Breakage, Nourishes Hair & Protects Shine | 100ml",299,3.8 out of 5 stars,"1,627",N/A,https://m.media-amazon.com/images/I/51NLrkNNQQL._AC_UL320_.jpg,N/A
"Khadi Natural Rosemary & Henna Hair Oil | Natural Oil for Thick, Voluminous Hair | Helps Control Hair Fall, Premature Greying | Paraben, Mineral Oil Free | Suitable for All Hair Types | 210ml",238,4.0 out of 5 stars,"3,033",N/A,https://m.media-amazon.com/images/I/51Tg+nGKlxL._AC_UL320_.jpg,N/A
Forest Essentials Ayurvedic Herb Enriched Head Massage Oil Japapatti 200ml (Hair Oil),"1,750",4.1 out of 5 stars,103,N/A,https://m.media-amazon.com/images/I/61jnUVhjwNL._AC_UL320_.jpg,N/A
"Brillare Argan Hair Oil, with the Goodness of Olive oil & Sunflower Oil, for Dry & Frizzy Hairs, 100% Natural Hair Oil, 100ml",208,4.0 out of 5 stars,307,N/A,https://m.media-amazon.com/images/I/718AsMuyboL._AC_UL320_.jpg,N/A
"Be Bodywise 5% Rosemary Hair Growth Oil 100ml | With Goodness of 14 Essential Oils | Reduces Hair Fall, Nourishes Scalp & Promotes Hair Growth | Paraben, Mineral Oil Free",299,4.2 out of 5 stars,102,N/A,https://m.media-amazon.com/images/I/719AkSTOVUL._AC_UL320_.jpg,N/A
"WishCare Premium Cold Pressed Castor Oil - Pure & Virgin Grade - For Healthy Hair and Skin, 200 ml",187,4.2 out of 5 stars,"9,213",N/A,https://m.media-amazon.com/images/I/51wDxfnafIL._AC_UL320_.jpg,N/A
